№,Title,Artist(s),Year,No.
70,"""Lolli Lolli (Pop That Body)""",Three 6 Mafia,2008,
71,"""Cyclone""",Baby Bash featuring T-Pain,2008,
72,"""Love Like This""",Natasha Bedingfield featuring Sean Kingston,2008,
73,"""Burnin' Up""",Jonas Brothers,2008,
74,"""Love Lockdown""",Kanye West,2008,
75,"""I Luv Your Girl""",The-Dream,2008,
76,"""Crush""",David Archuleta,2008,
77,"""Hypnotized""",Plies featuring Akon,2008,
78,"""Big Girls Don't Cry""",Fergie,2008,
79,"""Good Life""",Kanye West featuring T-Pain,2008,
80,"""Womanizer""",Britney Spears,2008,
81,"""Love Story""",Taylor Swift,2008,
82,"""Just Fine""",Mary J. Blige,2008,
83,"""Piece of Me""",Britney Spears,2008,
84,"""The Boss""",Rick Ross featuring T-Pain,2008,
85,"""All Summer Long""",Kid Rock,2008,
86,"""Can't Help but Wait""",Trey Songz,2008,
87,"""In Love with a Girl""",Gavin DeGraw,2008,
88,"""My Life""",The Game featuring Lil Wayne,2008,
89,"""I Remember""",Keyshia Cole,2008,
90,"""Flashing Lights""",Kanye West featuring Dwele,2008,
91,"""Mrs. Officer""",Lil Wayne featuring Bobby Valentino and Kidd Kidd,2008,
92,"""7 Things""",Miley Cyrus,2008,
93,"""You're Gonna Miss This""",Trace Adkins,2008,
94,"""Love Remains the Same""",Gavin Rossdale,2008,
95,"""Feels Like Tonight""",Daughtry,2008,
96,"""The Way I Are""",Timbaland featuring Keri Hilson,2008,
97,"""Addicted""",Saving Abel,2008,
98,"""Into the Night""",Santana featuring Chad Kroeger,2008,
99,"""Heaven Sent""",Keyshia Cole,2008,
100,"""She Got It""",2 Pistols featuring T-Pain and Tay Dizm,2008,
,"""Boom Boom Pow""",The Black Eyed Peas,2009,1
,"""Poker Face""",Lady Gaga,2009,2
,"""Just Dance""",Lady Gaga featuring Colby O'Donis,2009,3
,"""I Gotta Feeling""",The Black Eyed Peas,2009,4
,"""Love Story""",Taylor Swift,2009,5
,"""Right Round""",Flo Rida,2009,6
,"""I'm Yours""",Jason Mraz,2009,7
,"""Single Ladies (Put a Ring on It)""",Beyoncé,2009,8
,"""Heartless""",Kanye West,2009,9
,"""Gives You Hell""",The All-American Rejects,2009,10
,"""You Belong with Me""",Taylor Swift,2009,11
,"""Dead and Gone""",T.I. featuring Justin Timberlake,2009,12
,"""You Found Me""",The Fray,2009,13
,"""Use Somebody""",Kings of Leon,2009,14
,"""Knock You Down""",Keri Hilson featuring Kanye West and Ne-Yo,2009,15
,"""Blame It""",Jamie Foxx featuring T-Pain,2009,16
,"""I Know You Want Me (Calle Ocho)""",Pitbull,2009,17
,"""Live Your Life""",T.I. featuring Rihanna,2009,18
,"""Kiss Me thru the Phone""",Soulja Boy Tell 'Em featuring Sammie,2009,19
,"""Down""",Jay Sean featuring Lil Wayne,2009,20
,"""The Climb""",Miley Cyrus,2009,21
,"""Best I Ever Had""",Drake,2009,22
,"""My Life Would Suck Without You""",Kelly Clarkson,2009,23
,"""Halo""",Beyoncé,2009,24
,"""Hot n Cold""",Katy Perry,2009,25
,"""Second Chance""",Shinedown,2009,26
,"""Circus""",Britney Spears,2009,27
,"""Day 'n' Nite""",Kid Cudi,2009,28
,"""Party in the U.S.A.""",Miley Cyrus,2009,29
,"""Don't Trust Me""",3OH!3,2009,30
,"""Run This Town""",Jay-Z featuring Rihanna and Kanye West,2009,31
,"""Let It Rock""",Kevin Rudolf featuring Lil Wayne,2009,32
,"""Fire Burning""",Sean Kingston,2009,33
,"""Whatcha Say""",Jason Derulo,2009,34
,"""LoveGame""",Lady Gaga,2009,35
,"""Waking Up in Vegas""",Katy Perry,2009,36
,"""Birthday Sex""",Jeremih,2009,37
,"""Sober""",Pink,2009,38
,"""Womanizer""",Britney Spears,2009,39
,"""Whatever You Like""",T.I.,2009,40
,"""Obsessed""",Mariah Carey,2009,41
,"""Mad""",Ne-Yo,2009,42
,"""Good Girls Go Bad""",Cobra Starship featuring Leighton Meester,2009,43
,"""Love Lockdown""",Kanye West,2009,44
,"""So What""",Pink,2009,45
,"""Hotel Room Service""",Pitbull,2009,46
,"""Crack a Bottle""","Eminem, Dr. Dre and 50 Cent",2009,47
,"""If I Were a Boy""",Beyoncé,2009,48
,"""Turnin Me On""",Keri Hilson featuring Lil Wayne,2009,49
,"""I Hate This Part""",Pussycat Dolls,2009,50
,"""Gotta Be Somebody""",Nickelback,2009,51
,"""Please Don't Leave Me""",Pink,2009,52
,"""Paparazzi""",Lady Gaga,2009,53
,"""Beautiful""",Akon featuring Colby O'Donis and Kardinal Offishall,2009,54
,"""Viva la Vida""",Coldplay,2009,55
,"""Right Now (Na Na Na)""",Akon,2009,56
,"""Battlefield""",Jordin Sparks,2009,57
,"""Sugar""",Flo Rida featuring Wynter,2009,58
,"""Miss Independent""",Ne-Yo,2009,59
,"""Fireflies""",Owl City,2009,60
,"""New Divide""",Linkin Park,2009,61
,"""Empire State of Mind""",Jay-Z featuring Alicia Keys,2009,62
,"""No Surprise""",Daughtry,2009,63
,"""She Wolf""",Shakira,2009,64
,"""Break Up""",Mario featuring Gucci Mane and Sean Garrett,2009,65
,"""Sweet Dreams""",Beyoncé,2009,66
,"""Every Girl""",Young Money,2009,67
,"""Fallin' for You""",Colbie Caillat,2009,68
,"""Untouched""",The Veronicas,2009,69
,"""If Today Was Your Last Day""",Nickelback,2009,70
,"""Throw It in the Bag""",Fabolous featuring The-Dream,2009,71
,"""Love Drunk""",Boys Like Girls,2009,72
,"""I Love College""",Asher Roth,2009,73
,"""If U Seek Amy""",Britney Spears,2009,74
,"""Big Green Tractor""",Jason Aldean,2009,75
,"""White Horse""",Taylor Swift,2009,76
,"""Disturbia""",Rihanna,2009,77
,"""21 Guns""",Green Day,2009,78
,"""Turn My Swag On""",Soulja Boy Tell 'Em,2009,79
,"""Rockin' That Thang""",The-Dream,2009,80
,"""Chicken Fried""",Zac Brown Band,2009,81
,"""Diva""",Beyoncé,2009,82
,"""Replay""",Iyaz,2009,83
,"""Then""",Brad Paisley,2009,84
,"""Her Diamonds""",Rob Thomas,2009,85
,"""How Do You Sleep?""",Jesse McCartney featuring Ludacris,2009,86
,"""3""",Britney Spears,2009,87
,"""Forever""","Drake featuring Kanye West, Lil Wayne and Eminem",2009,88
,"""One Time""",Justin Bieber,2009,89
,"""I Run to You""",Lady Antebellum,2009,90
,"""I Do Not Hook Up""",Kelly Clarkson,2009,91
,"""Green Light""",John Legend featuring André 3000,2009,92
,"""People Are Crazy""",Billy Currington,2009,93
,"""Whatever It Is""",Zac Brown Band,2009,94
,"""Already Gone""",Kelly Clarkson,2009,95
,"""Goodbye""",Kristinia DeBarge,2009,96
,"""Say Hey (I Love You)""",Michael Franti & Spearhead featuring Cherine Anderson,2009,97
,"""Pop Champagne""",Jim Jones featuring Ron Browz and Juelz Santana,2009,98
,"""Pretty Wings""",Maxwell,2009,99
,"""Never Say Never""",The Fray,2009,100
,"""Tik Tok""",Kesha,2010,1
,"""Need You Now""",Lady Antebellum,2010,2
,"""Hey, Soul Sister""",Train,2010,3
,"""California Gurls""",Katy Perry featuring Snoop Dogg,2010,4
,"""OMG""",Usher featuring will.i.am,2010,5
,"""Airplanes""",B.o.B featuring Hayley Williams,2010,6
,"""Love the Way You Lie""",Eminem featuring Rihanna,2010,7
,"""Bad Romance""",Lady Gaga,2010,8
,"""Dynamite""",Taio Cruz,2010,9
,"""Break Your Heart""",Taio Cruz featuring Ludacris,2010,10
,"""Nothin' on You""",B.o.B featuring Bruno Mars,2010,11
,"""I Like It""",Enrique Iglesias featuring Pitbull,2010,12
,"""BedRock""",Young Money featuring Lloyd,2010,13
,"""In My Head""",Jason Derulo,2010,14
,"""Rude Boy""",Rihanna,2010,15
,"""Telephone""",Lady Gaga featuring Beyoncé,2010,16
,"""Teenage Dream""",Katy Perry,2010,17
,"""Just the Way You Are""",Bruno Mars,2010,18
,"""Cooler Than Me""",Mike Posner,2010,19
,"""Imma Be""",The Black Eyed Peas,2010,20
,"""Empire State of Mind""",Jay-Z featuring Alicia Keys,2010,21
,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,2010,22
,"""Billionaire""",Travie McCoy featuring Bruno Mars,2010,23
,"""Not Afraid""",Eminem,2010,24
,"""Replay""",Iyaz,2010,25
,"""Sexy Bitch""",David Guetta featuring Akon,2010,26
,"""Breakeven""",The Script,2010,27
,"""Your Love Is My Drug""",Kesha,2010,28
,"""I Gotta Feeling""",The Black Eyed Peas,2010,29
,"""Fireflies""",Owl City,2010,30
,"""Say Aah""",Trey Songz featuring Fabolous,2010,31
,"""Find Your Love""",Drake,2010,32
,"""Alejandro""",Lady Gaga,2010,33
,"""Ridin' Solo""",Jason Derulo,2010,34
,"""Just a Dream""",Nelly,2010,35
,"""How Low""",Ludacris,2010,36
,"""Like a G6""",Far East Movement featuring The Cataracs and Dev,2010,37
,"""Carry Out""",Timbaland featuring Justin Timberlake,2010,38
,"""Haven't Met You Yet""",Michael Bublé,2010,39
,"""Club Can't Handle Me""",Flo Rida featuring David Guetta,2010,40
,"""Down""",Jay Sean featuring Lil Wayne,2010,41
,"""Bulletproof""",La Roux,2010,42
,"""Whatcha Say""",Jason Derulo,2010,43
,"""Baby""",Justin Bieber featuring Ludacris,2010,44
,"""Whataya Want from Me""",Adam Lambert,2010,45
,"""Mine""",Taylor Swift,2010,46
,"""Only Girl (In the World)""",Rihanna,2010,47
,"""Live Like We're Dying""",Kris Allen,2010,48
,"""Hard""",Rihanna featuring Jeezy,2010,49
,"""Young Forever""",Jay-Z featuring Mr Hudson,2010,50
,"""Blah Blah Blah""",Kesha featuring 3OH!3,2010,51
,"""Bottoms Up""",Trey Songz featuring Nicki Minaj,2010,52
,"""Do You Remember""",Jay Sean featuring Sean Paul and Lil Jon,2010,53
,"""All the Right Moves""",OneRepublic,2010,54
,"""According to You""",Orianthi,2010,55
,"""My Chick Bad""",Ludacris featuring Nicki Minaj,2010,56
,"""You Belong with Me""",Taylor Swift,2010,57
,"""Meet Me Halfway""",The Black Eyed Peas,2010,58
,"""Take It Off""",Kesha,2010,59
,"""Over""",Drake,2010,60
,"""Animal""",Neon Trees,2010,61
,"""Misery""",Maroon 5,2010,62
,"""Magic""",B.o.B featuring Rivers Cuomo,2010,63
,"""Paparazzi""",Lady Gaga,2010,64
,"""Tie Me Down""",New Boyz featuring Ray J,2010,65
,"""Your Love""",Nicki Minaj,2010,66
,"""Party in the U.S.A.""",Miley Cyrus,2010,67
,"""Deuces""",Chris Brown featuring Tyga and Kevin McCall,2010,68
,"""3""",Britney Spears,2010,69
,"""Impossible""",Shontelle,2010,70
,"""Forever""","Drake featuring Kanye West, Lil Wayne and Eminem",2010,71
,"""Two Is Better Than One""",Boys Like Girls featuring Taylor Swift,2010,72
,"""My First Kiss""",3OH!3 featuring Kesha,2010,73
,"""Already Gone""",Kelly Clarkson,2010,74
,"""Rock That Body""",The Black Eyed Peas,2010,75
,"""Secrets""",OneRepublic,2010,76
,"""Naturally""",Selena Gomez & the Scene,2010,77
,"""Un-Thinkable (I'm Ready)""",Alicia Keys,2010,78
,"""All I Do Is Win""","DJ Khaled featuring T-Pain, Ludacris, Snoop Dogg and Rick Ross",2010,79
,"""I Made It (Cash Money Heroes)""","Kevin Rudolf featuring Birdman, Jay Sean and Lil Wayne",2010,80
,"""Stuck Like Glue""",Sugarland,2010,81
,"""Hey Daddy (Daddy's Home)""",Usher featuring Plies,2010,82
,"""There Goes My Baby""",Usher,2010,83
,"""Today Was a Fairytale""",Taylor Swift,2010,84
,"""Say Something""",Timbaland featuring Drake,2010,85
,"""Sweet Dreams""",Beyoncé,2010,86
,"""Use Somebody""",Kings of Leon,2010,87
,"""Undo It""",Carrie Underwood,2010,88
,"""Eenie Meenie""",Sean Kingston and Justin Bieber,2010,89
,"""Right Above It""",Lil Wayne featuring Drake,2010,90
,"""The House That Built Me""",Miranda Lambert,2010,91
,"""If I Die Young""",The Band Perry,2010,92
,"""The Only Exception""",Paramore,2010,93
,"""American Honey""",Lady Antebellum,2010,94
,"""King of Anything""",Sara Bareilles,2010,95
,"""Life After You""",Daughtry,2010,96
,"""Smile""",Uncle Kracker,2010,97
,"""Teach Me How to Dougie""",Cali Swag District,2010,98
,"""Try Sleeping with a Broken Heart""",Alicia Keys,2010,99
,"""Lover, Lover""",Jerrod Niemann,2010,100
,"""Rolling in the Deep""",Adele,2011,1
,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,2011,2
,"""Firework""",Katy Perry,2011,3
,"""E.T.""",Katy Perry featuring Kanye West,2011,4
,"""Give Me Everything""","Pitbull featuring Ne-Yo, Afrojack and Nayer",2011,5
,"""Grenade""",Bruno Mars,2011,6
,"""Fuck You (Forget You)""",CeeLo Green,2011,7
,"""Super Bass""",Nicki Minaj,2011,8
,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,2011,9
,"""Just Can't Get Enough""",The Black Eyed Peas,2011,10
,"""On the Floor""",Jennifer Lopez featuring Pitbull,2011,11
,"""S&M""",Rihanna,2011,12
,"""Pumped Up Kicks""",Foster the People,2011,13
,"""Last Friday Night (T.G.I.F.)""",Katy Perry,2011,14
,"""Just the Way You Are""",Bruno Mars,2011,15
,"""Tonight (I'm Lovin' You)""",Enrique Iglesias featuring Ludacris and DJ Frank E,2011,16
,"""Raise Your Glass""",Pink,2011,17
,"""Born This Way""",Lady Gaga,2011,18
,"""Fuckin' Perfect""",Pink,2011,19
,"""What's My Name?""",Rihanna featuring Drake,2011,20
,"""Look at Me Now""",Chris Brown featuring Lil Wayne and Busta Rhymes,2011,21
,"""Down on Me""",Jeremih featuring 50 Cent,2011,22
,"""How to Love""",Lil Wayne,2011,23
,"""Someone Like You""",Adele,2011,24
,"""Good Life""",OneRepublic,2011,25
,"""The Lazy Song""",Bruno Mars,2011,26
,"""Till the World Ends""",Britney Spears,2011,27
,"""The Show Goes On""",Lupe Fiasco,2011,28
,"""The Edge of Glory""",Lady Gaga,2011,29
,"""We R Who We R""",Kesha,2011,30
,"""Black and Yellow""",Wiz Khalifa,2011,31
,"""Tonight Tonight""",Hot Chelle Rae,2011,32
,"""Blow""",Kesha,2011,33
,"""Lighters""",Bad Meets Evil featuring Bruno Mars,2011,34
,"""If I Die Young""",The Band Perry,2011,35
,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,2011,36
,"""The Time (Dirty Bit)""",The Black Eyed Peas,2011,37
,"""Coming Home""",Diddy – Dirty Money featuring Skylar Grey,2011,38
,"""Hey Baby (Drop It to the Floor)""",Pitbull featuring T-Pain,2011,39
,"""Only Girl (In the World)""",Rihanna,2011,40
,"""6 Foot 7 Foot""",Lil Wayne featuring Cory Gunz,2011,41
,"""Just a Kiss""",Lady Antebellum,2011,42
,"""Dirt Road Anthem""",Jason Aldean,2011,43
,"""Dynamite""",Taio Cruz,2011,44
,"""No Hands""",Waka Flocka Flame featuring Wale and Roscoe Dash,2011,45
,"""I Wanna Go""",Britney Spears,2011,46
,"""I'm on One""","DJ Khaled featuring Drake, Rick Ross and Lil Wayne",2011,47
,"""You Make Me Feel...""",Cobra Starship featuring Sabi,2011,48
,"""Yeah 3x""",Chris Brown,2011,49
,"""Moment 4 Life""",Nicki Minaj featuring Drake,2011,50
,"""I Need a Doctor""",Dr. Dre featuring Eminem and Skylar Grey,2011,51
,"""Just a Dream""",Nelly,2011,52
,"""Motivation""",Kelly Rowland featuring Lil Wayne,2011,53
,"""Stereo Love""",Edward Maya featuring Vika Jigulina,2011,54
,"""Jar of Hearts""",Christina Perri,2011,55
,"""Roll Up""",Wiz Khalifa,2011,56
,"""Sexy and I Know It""",LMFAO,2011,57
,"""Rocketeer""",Far East Movement featuring Ryan Tedder,2011,58
,"""All of the Lights""",Kanye West,2011,59
,"""Hold It Against Me""",Britney Spears,2011,60
,"""More""",Usher,2011,61
,"""What the Hell""",Avril Lavigne,2011,62
,"""Written in the Stars""",Tinie Tempah featuring Eric Turner,2011,63
,"""Bottoms Up""",Trey Songz featuring Nicki Minaj,2011,64
,"""DJ Got Us Fallin' in Love""",Usher featuring Pitbull,2011,65
,"""For the First Time""",The Script,2011,66
,"""Honey Bee""",Blake Shelton,2011,67
,"""Don't You Wanna Stay""",Jason Aldean featuring Kelly Clarkson,2011,68
,"""We Found Love""",Rihanna featuring Calvin Harris,2011,69
,"""Pretty Girl Rock""",Keri Hilson,2011,70
,"""Yoü and I""",Lady Gaga,2011,71
,"""Like a G6""",Far East Movement featuring The Cataracs and Dev,2011,72
,"""Without You""",David Guetta featuring Usher,2011,73
,"""Back to December""",Taylor Swift,2011,74
,"""Teenage Dream""",Katy Perry,2011,75
,"""Crazy Girl""",Eli Young Band,2011,76
,"""Cheers (Drink to That)""",Rihanna,2011,77
,"""Who Says""",Selena Gomez & the Scene,2011,78
,"""Barefoot Blue Jean Night""",Jake Owen,2011,79
,"""Knee Deep""",Zac Brown Band featuring Jimmy Buffett,2011,80
,"""Country Girl (Shake It for Me)""",Luke Bryan,2011,81
,"""Remind Me""",Brad Paisley and Carrie Underwood,2011,82
,"""In the Dark""",Dev,2011,83
,"""Backseat""",New Boyz featuring The Cataracs and Dev,2011,84
,"""Headlines""",Drake,2011,85
,"""Best Thing I Never Had""",Beyoncé,2011,86
,"""Don't Wanna Go Home""",Jason Derulo,2011,87
,"""Where Them Girls At""",David Guetta featuring Flo Rida and Nicki Minaj,2011,88
,"""She Ain't You""",Chris Brown,2011,89
,"""Take a Back Road""",Rodney Atkins,2011,90
,"""Please Don't Go""",Mike Posner,2011,91
,"""Sure Thing""",Miguel,2011,92
,"""Price Tag""",Jessie J featuring B.o.B,2011,93
,"""God Gave Me You""",Blake Shelton,2011,94
,"""She Will""",Lil Wayne featuring Drake,2011,95
,"""Are You Gonna Kiss Me or Not""",Thompson Square,2011,96
,"""Animal""",Neon Trees,2011,97
,"""You and Tequila""",Kenny Chesney featuring Grace Potter,2011,98
,"""Colder Weather""",Zac Brown Band,2011,99
,"""My Last""",Big Sean featuring Chris Brown,2011,100
,"""Somebody That I Used to Know""",Gotye featuring Kimbra,2012,1
,"""Call Me Maybe""",Carly Rae Jepsen,2012,2
,"""We Are Young""",Fun featuring Janelle Monáe,2012,3
,"""Payphone""",Maroon 5 featuring Wiz Khalifa,2012,4
,"""Lights""",Ellie Goulding,2012,5
,"""Glad You Came""",The Wanted,2012,6
,"""Stronger (What Doesn't Kill You)""",Kelly Clarkson,2012,7
,"""We Found Love""",Rihanna featuring Calvin Harris,2012,8
,"""Starships""",Nicki Minaj,2012,9
,"""What Makes You Beautiful""",One Direction,2012,10
,"""Wild Ones""",Flo Rida featuring Sia,2012,11
,"""Set Fire to the Rain""",Adele,2012,12
,"""Sexy and I Know It""",LMFAO,2012,13
,"""Some Nights""",Fun,2012,14
,"""Wide Awake""",Katy Perry,2012,15
,"""Good Feeling""",Flo Rida,2012,16
,"""Whistle""",,2012,17
,"""One More Night""",Maroon 5,2012,18
,"""Drive By""",Train,2012,19
,"""The Motto""",Drake featuring Lil Wayne,2012,20
,"""Where Have You Been""",Rihanna,2012,21
,"""Everybody Talks""",Neon Trees,2012,22
,"""Take Care""",Drake featuring Rihanna,2012,23
,"""Titanium""",David Guetta featuring Sia,2012,24
,"""I Won't Give Up""",Jason Mraz,2012,25
,"""It Will Rain""",Bruno Mars,2012,26
,"""Mercy""","Kanye West, Big Sean, Pusha T and 2 Chainz",2012,27
,"""Boyfriend""",Justin Bieber,2012,28
,"""Party Rock Anthem""",LMFAO featuring Lauren Bennett and GoonRock,2012,29
,"""Too Close""",Alex Clare,2012,30
,"""Part of Me""",Katy Perry,2012,31
,"""Young, Wild & Free""",Snoop Dogg and Wiz Khalifa featuring Bruno Mars,2012,32
,"""We Are Never Ever Getting Back Together""",Taylor Swift,2012,33
,"""As Long as You Love Me""",Justin Bieber featuring Big Sean,2012,34
,"""Turn Me On""",David Guetta featuring Nicki Minaj,2012,35
,"""Moves like Jagger""",Maroon 5 featuring Christina Aguilera,2012,36
,"""Blow Me (One Last Kiss)""",Pink,2012,37
,"""Good Time""",Owl City and Carly Rae Jepsen,2012,38
,"""Give Your Heart a Break""",Demi Lovato,2012,39
,"""Niggas in Paris""",Jay-Z and Kanye West,2012,40
,"""The One That Got Away""",Katy Perry,2012,41
,"""Feel So Close""",Calvin Harris,2012,42
,"""Someone like You""",Adele,2012,43
,"""Scream""",Usher,2012,44
,"""Rack City""",Tyga,2012,45
,"""Domino""",Jessie J,2012,46
,"""Gangnam Style""",Psy,2012,47
,"""International Love""",Pitbull featuring Chris Brown,2012,48
,"""Home""",Phillip Phillips,2012,49
,"""Without You""",David Guetta featuring Usher,2012,50
,"""Ass Back Home""",Gym Class Heroes featuring Neon Hitch,2012,51
,"""Wanted""",Hunter Hayes,2012,52
,"""Drunk on You""",Luke Bryan,2012,53
,"""No Lie""",2 Chainz featuring Drake,2012,54
,"""Want U Back""",Cher Lloyd,2012,55
,"""Don't Wake Me Up""",Chris Brown,2012,56
,"""Dance (A$$)""",Big Sean featuring Nicki Minaj,2012,57
,"""Springsteen""",Eric Church,2012,58
,"""Brokenhearted""",Karmin,2012,59
,"""Not Over You""",Gavin DeGraw,2012,60
,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,2012,61
,"""Back in Time""",Pitbull,2012,62
,"""Work Out""",J. Cole,2012,63
,"""Rumour Has It""",Adele,2012,64
,"""Let's Go""",Calvin Harris featuring Ne-Yo,2012,65
,"""Good Girl""",Carrie Underwood,2012,66
,"""Pontoon""",Little Big Town,2012,67
,"""Ho Hey""",The Lumineers,2012,68
,"""Paradise""",Coldplay,2012,69
,"""Blown Away""",Carrie Underwood,2012,70
,"""Rolling in the Deep""",Adele,2012,71
,"""Climax""",Usher,2012,72
,"""Work Hard, Play Hard""",Wiz Khalifa,2012,73
,"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,2012,74
,"""Pound the Alarm""",Nicki Minaj,2012,75
,"""Come Over""",Kenny Chesney,2012,76
,"""Heart Attack""",Trey Songz,2012,77
,"""Drank in My Cup""",Kirko Bangz,2012,78
,"""Birthday Cake""",Rihanna featuring Chris Brown,2012,79
,"""So Good""",B.o.B,2012,80
,"""50 Ways to Say Goodbye""",Train,2012,81
,"""Red Solo Cup""",Toby Keith,2012,82
,"""Love You Like a Love Song""",Selena Gomez & the Scene,2012,83
,"""Turn Up the Music""",Chris Brown,2012,84
,"""Die Young""",Kesha,2012,85
,"""5 O'Clock""",T-Pain featuring Wiz Khalifa and Lily Allen,2012,86
,"""A Thousand Years""",Christina Perri,2012,87
,"""Take a Little Ride""",Jason Aldean,2012,88
,"""You da One""",Rihanna,2012,89
,"""We Run the Night""",Havana Brown featuring Pitbull,2012,90
,"""It's Time""",Imagine Dragons,2012,91
,"""Cashin' Out""",Cash Out,2012,92
,"""I Don't Want This Night to End""",Luke Bryan,2012,93
,"""Diamonds""",Rihanna,2012,94
,"""Hard to Love""",Lee Brice,2012,95
,"""Somethin' 'Bout a Truck""",Kip Moore,2012,96
,"""Adorn""",Miguel,2012,97
,"""Fly Over States""",Jason Aldean,2012,98
,"""Even If It Breaks Your Heart""",Eli Young Band,2012,99
,"""Burn It Down""",Linkin Park,2012,100
,"""Thrift Shop""",Macklemore & Ryan Lewis featuring Wanz,2013,1
,"""Blurred Lines""",Robin Thicke featuring T.I. and Pharrell Williams,2013,2
,"""Radioactive""",Imagine Dragons,2013,3
,"""Harlem Shake""",Baauer,2013,4
,"""Can't Hold Us""",Macklemore & Ryan Lewis featuring Ray Dalton,2013,5
,"""Mirrors""",Justin Timberlake,2013,6
,"""Just Give Me a Reason""",Pink featuring Nate Ruess,2013,7
,"""When I Was Your Man""",Bruno Mars,2013,8
,"""Cruise""",Florida Georgia Line featuring Nelly,2013,9
,"""Roar""",Katy Perry,2013,10
,"""Locked Out of Heaven""",Bruno Mars,2013,11
,"""Ho Hey""",The Lumineers,2013,12
,"""Stay""",Rihanna featuring Mikky Ekko,2013,13
,"""Get Lucky""",Daft Punk featuring Pharrell Williams,2013,14
,"""Royals""",Lorde,2013,15
,"""I Knew You Were Trouble.""",Taylor Swift,2013,16
,"""We Can't Stop""",Miley Cyrus,2013,17
,"""Wrecking Ball""",,2013,18
,"""Wake Me Up""",Avicii,2013,19
,"""Suit & Tie""",Justin Timberlake featuring Jay-Z,2013,20
,"""Cups (Pitch Perfect's When I'm Gone)""",Anna Kendrick,2013,21
,"""Holy Grail""",Jay-Z featuring Justin Timberlake,2013,22
,"""Scream & Shout""",will.i.am featuring Britney Spears,2013,23
,"""Clarity""",Zedd featuring Foxes,2013,24
,"""Sail""",Awolnation,2013,25
,"""Don't You Worry Child""",Swedish House Mafia featuring John Martin,2013,26
,"""Diamonds""",Rihanna,2013,27
,"""I Love It""",Icona Pop featuring Charli XCX,2013,28
,"""Safe and Sound""",Capital Cities,2013,29
,"""Treasure""",Bruno Mars,2013,30
,"""The Way""",Ariana Grande featuring Mac Miller,2013,31
,"""Started from the Bottom""",Drake,2013,32
,"""Come & Get It""",Selena Gomez,2013,33
,"""Hold On, We're Going Home""",Drake featuring Majid Jordan,2013,34
,"""Daylight""",Maroon 5,2013,35
,"""Feel This Moment""",Pitbull featuring Christina Aguilera,2013,36
,"""Applause""",Lady Gaga,2013,37
,"""One More Night""",Maroon 5,2013,38
,"""Love Me""",Lil Wayne featuring Drake and Future,2013,39
,"""My Songs Know What You Did in the Dark (Light Em Up)""",Fall Out Boy,2013,40
,"""Fuckin' Problems""","ASAP Rocky featuring Drake, 2 Chainz and Kendrick Lamar",2013,41
,"""Beauty and a Beat""",Justin Bieber featuring Nicki Minaj,2013,42
,"""Same Love""",Macklemore & Ryan Lewis featuring Mary Lambert,2013,43
,"""Sweet Nothing""",Calvin Harris featuring Florence Welch,2013,44
,"""Summertime Sadness""",Lana Del Rey and Cédric Gervais,2013,45
,"""Home""",Phillip Phillips,2013,46
,"""It's Time""",Imagine Dragons,2013,47
,"""Power Trip""",J. Cole featuring Miguel,2013,48
,"""Girl on Fire""",Alicia Keys featuring Nicki Minaj,2013,49
,"""Heart Attack""",Demi Lovato,2013,50
,"""Love Somebody""",Maroon 5,2013,51
,"""I Will Wait""",Mumford & Sons,2013,52
,"""Try""",Pink,2013,53
,"""Wagon Wheel""",Darius Rucker,2013,54
,"""Gangnam Style""",Psy,2013,55
,"""I Need Your Love""",Calvin Harris featuring Ellie Goulding,2013,56
,"""Die Young""",Kesha,2013,57
,"""Some Nights""",Fun,2013,58
,"""Bad""",Wale featuring Tiara Thomas or Rihanna,2013,59
,"""Boys 'Round Here""",Blake Shelton featuring Pistol Annies and Friends,2013,60
,"""Gone, Gone, Gone""",Phillip Phillips,2013,61
,"""Demons""",Imagine Dragons,2013,62
,"""Counting Stars""",OneRepublic,2013,63
,"""I Cry""",Flo Rida,2013,64
,"""Little Talks""",Of Monsters and Men,2013,65
,"""The Other Side""",Jason Derulo,2013,66
,"""Berzerk""",Eminem,2013,67
,"""Catch My Breath""",Kelly Clarkson,2013,68
,"""Crash My Party""",Luke Bryan,2013,69
,"""Pour It Up""",Rihanna,2013,70
,"""22""",Taylor Swift,2013,71
,"""I Want Crazy""",Hunter Hayes,2013,72
,"""The Fox (What Does the Fox Say?)""",Ylvis,2013,73
,"""Best Song Ever""",One Direction,2013,74
,"""The A Team""",Ed Sheeran,2013,75
,"""Carry On""",Fun,2013,76
,"""Highway Don't Care""",Tim McGraw featuring Taylor Swift and Keith Urban,2013,77
,"""That's My Kind of Night""",Luke Bryan,2013,78
,"""Swimming Pools (Drank)""",Kendrick Lamar,2013,79
,"""Sure Be Cool If You Did""",Blake Shelton,2013,80
,"""#Beautiful""",Mariah Carey featuring Miguel,2013,81
